127.0.0.1 - - [13/Aug/2020:10:12:16 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:20:50 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:20:51 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:20:51 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:20:53 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:20:53 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:20:53 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:20:54 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:20:54 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:17 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:18 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:18 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:18 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:23 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:47 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:48 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:48 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:48 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:49 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:49 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:55 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:55 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:55 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:55 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:55 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:56 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:56 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:57 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:57 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:21:59 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:00 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:00 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:03 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:03 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:03 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:03 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:03 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:38 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:39 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:40 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:40 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:40 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:40 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:41 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:41 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:42 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:43 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:43 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:22:57 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:23:43 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:24:03 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:24:04 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:24:05 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:24:05 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:24:06 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:24:06 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:24:07 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:24:07 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:24:29 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:04 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:05 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:05 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:05 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:05 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:06 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:06 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:14 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:15 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:15 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:15 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:16 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:16 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:32 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:35 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:27:35 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:29:31 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:29:32 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:29:44 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:30:02 +0900] "GET /jeju/mystus.jsp HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:33:44 +0900] "GET /jeju/lms/mytask/mystus.bit HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:34:24 +0900] "GET /lms/mytask/mystus.bit HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:34:34 +0900] "GET /jeju/lms/mytask/mystus.bit HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [13/Aug/2020:10:44:13 +0900] "GET /jeju/index.jsp HTTP/1.1" 500 4323
